fromCountryLabel,toCountryLabel,entryValue,exitValue,totalFlow
Albania,Italy,3051138586.0,3328640317.0,-277501731.0
Austria,Germany,855754809.0,4002758818.0,-3147004009.0
Austria,Hungary,987702918.0,916415279.0,71287639.0
Austria,Italy,1483810841.0,1301902783.0,181908058.0
Austria,Slovakia,0.0,7679380680.0,-7679380680.0
Austria,Slovenia,83687204.0,80225188.0,3462016.0
Belarus,Lithuania,589885184.0,0.0,589885184.0
Belgium,France,2407068638.0,2486761676.0,-79693038.0
Belgium,Germany,7924403271.7,4738367878.0,3186035393.7
Belgium,Netherlands,5925500723.1,4666414029.0,1259086694.1000004
Belgium,Norway,5718055505.0,0.0,5718055505.0
Belgium,United Kingdom,3306735679.0,3306739137.0,-3458.0
Bulgaria,Greece,468398628.0,1120870701.73,-652472073.73
Bulgaria,North Macedonia,0.0,132932577.0,-132932577.0
Bulgaria,Romania,1380905512.659,1506221680.0,-125316167.34100008
Bulgaria,Serbia,0.0,3536810505.0,-3536810505.0
Bulgaria,Turkey,0.0,0.0,0.0
Croatia,Hungary,557047000.0,507283968.0,49763032.0
Croatia,Slovenia,34829090.0,37959418.0,-3130328.0
Czechia,Germany,2615163154.0,6729891195.0,-4114728041.0
Czechia,Poland,22784318.0,22741257.0,43061.0
Czechia,Slovakia,531128140.0,533569637.0,-2441497.0
Denmark,Germany,1165087649.0,1132632843.0,32454806.0
Denmark,Poland,3542081883.0,3528986164.0,13095719.0
Estonia,Finland,385656194.05,422297752.0,-36641557.94999999
Estonia,Latvia,0.0,0.0,0.0
Estonia,Russia,0.0,0.0,0.0
Finland,Estonia,385656194.05,422297752.0,-36641557.94999999
France,Belgium,2407068638.0,2486761676.0,-79693038.0
France,Germany,0.0,0.0,0.0
France,Spain,718932246.0,726388311.0,-7456065.0
France,Switzerland,83116320.0,2334347214.0,-2251230894.0
Germany,Austria,1503071288.0,1705414730.0,-202343442.0
Germany,Belgium,3186035395.0,0.0,3186035395.0
Germany,Czechia,6520656804.0,14242519503.0,-7721862699.0
Germany,Denmark,1165087649.0,1132632843.0,32454806.0
Germany,France,0.0,0.0,0.0
Germany,Luxemburg,0.0,0.0,0.0
Germany,Netherlands,6645152310.6,8787575763.1,-2142423452.5
Germany,Norway,7384493362.5,0.0,7384493362.5
Germany,Poland,393355980.0,393020153.855,335826.1449999809
Germany,Russia,0.0,0.0,0.0
Germany,Switzerland,1151900743.0,5054934519.162,-3903033776.1619997
Greece,Bulgaria,468398628.0,1120870701.73,-652472073.73
Greece,Turkey,3996900657.0,0.0,3996900657.0
Hungary,Austria,987702918.0,916415279.0,71287639.0
Hungary,Croatia,557047000.0,507283968.0,49763032.0
Hungary,Romania,816836479.383513,746193906.48,70642572.90351295
Hungary,Serbia,2939269000.0,0.0,2939269000.0
Hungary,Slovakia,169809000.0,169809000.0,0.0
Hungary,Ukraine,899255846.84,908932000.0,-9676153.159999967
