countryName,totalEntries,totalExits
Austria,17463386495.0,81267929778.0
Belarus,1006091387.0,0.0
Belgium,27455096521.2,31231884179.9
Bulgaria,6853863047.0,4377277707.576
Croatia,1392091201.0,1432242316.0
Czechia,32255222107.7,32343234273.0
Denmark,1276967772.0,96496656.0
Estonia,167231658.91,217743740.52499998
Finland,0.0,0.0
France,34916113150.0,43928495049.0
Germany,79494392638.81999,89232326045.75
Greece,1579911597.0,2414063487.0
Hungary,3273040081.49,9753753899.0
Ireland,0.0,1622697900.0
Italy,30543750162.0,43909194128.0
Latvia,56104068.91,55940736.455
Libya,1733468376.0,0.0
Lithuania,618333273.0,885718833.0
Luxemburg,287467518.0,867028554.0
Moldavia,3552924792.7,212664254.589
Morocco,0.0,0.0
Netherlands,41462370142.899994,43043937617.71
North Macedonia,0.0,36042249.0
Norway,32511495862.6,0.0
Poland,11537699481.0,18607246771.3
Portugal,3491592257.0,1893022284.0
Romania,12495566919.754,8566340976.636
Russia,31839746195.8434,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,20656781451.0,48332786771.0
Slovenia,630650713.0,927478726.0
Spain,9835059112.0,10674614855.0
Switzerland,10400709906.0,19263840435.6
Turkey,532337884.0,1465604352.0
Ukraine,30126157830.52,15532991185.528
United Kingdom,3090967968.0,15662462472.0
